Downloaded from FDA Inventory of Effective Food Contact Substance (FCS) Notifications; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FCN; Last updated 2/28/2025; downloaded 3/31/2025.

"According to Section 409(h)(1)(C) of the FFDCA, food contact substance notifications (FCNs) are effective only for the listed manufacturer and its customers. Other manufacturers must submit their own FCN for the same food contact substance & intended use."

FCN No,Message,Addl Info description,Addl Info details,Addl Info details 2,Addl Info details 3,Food Contact Substance,FCS REPLACED BY,Notifier,Manufacturer Supplier,Intended Use,Limitations Specifications,Effective Date,NEPA Submission,FDA Decision for NEPA
=T("404"),,,,,," 4,4'-[Isopropylidenebis(p-phenyleneoxy)]diphthalic dianhydride/4,4'-diaminodiphenyl sulfone copolymer (CAS Reg. No. 77699-82-2).",," SABIC Innovative Plastics"," SHPP US LLC"," The FCS will be used as a component of repeated-use food contact articles intended for use in contact with all food types with no temperature limitation."," The FCS shall have a maximum melt index of 1.8 g/min.",05/13/2004," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("405"),,,,,," Ethylene-2-norbornene copolymer (CAS Reg. No. 26007-43-2). The CAS nomenclature is bicyclo{2.2.1} hept-2-ene, polymer with ethene.",," TOPAS Advanced Polymers, Inc. and TOPAS Advanced Polymers GmbH"," TOPAS Advanced Polymers GmbH<br>Polyplastics USA, Inc., and<br>Polyplastics Co., Ltd."," As a basic polymer used in the production of articles intended to contact food."," Ethylene-2-norbornene copolymer (density 1.02+0.04 g/cm<sup>3</sup>) may contain not less than 20 but no more than 70 mole percent of polymer units derived from norbornene in contact with all food types under conditions of use A through H.",05/20/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)/EA Supplement"
=T("406"),,,,,," Hexanedioic acid, polymer with azacyclotridecan-2-one and &alpha;-hydro-&omega;-hydroxypoly(oxy-1,2-ethanediyl) (CAS Reg. No. 70290-02-7).",," Ciba Specialty Chemicals Corporation"," Arkema Inc."," As an antistatic agent for polymers in contact with non-fatty dry foods."," The FCS will be used in polymers at concentrations of up to 15 percent by weight of the polymer, in contact with non-fatty dry foods, under Conditions of Use E through G, as described in Table 2.",07/12/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("407"),,,,,," 2-Bromo-2-nitro-1,3-propanediol (CAS Reg. No. 52-51-7).",," GE Betz"," Veolia WTS USA, Inc."," As a preservative for boiler water additive formulations."," For use only as a preservative in boiler water additive formulations. The food-contact substance shall be added to the boiler feedwater, or the steam header, at levels not to exceed an initial concentration of 0.025 parts per million of the steam.",06/19/2004," Categorical Exclusion 25.32(q)"," Categorical Exclusion Memo"
=T("411"),,,,,," Copper, (1,3,8,16,24-hexabromo-2,4,9,10,11,15,17,22,23,25-decachloro-29H,31H-phthalocyanato(2-)-N29,N30,N31,N32)-, (SP-4-2)- (CAS Reg. No. 14302-13-7).",," BASF Corporation"," Colors and Effects USA LLC"," As a colorant in all types of food-contact polymers."," The FCS is to be used at levels not to exceed 1% by weight as a colorant in all types of food-contact polymers. The finished polymers are intended to contact all types of food under Conditions of Use C-G, as described in Table 2, and not to exceed temperatures of 70°C. Use of the colorant is subject to the provisions and definitions set forth in 21 CFR 178.3297.",10/02/2004," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("413"),,,,,," Polyester-polyurethane resin-acid dianhydride adhesives.",," Dainippon Ink and Chemicals, Inc."," Dainippon Ink and Chemicals, Inc."," For use as an adhesive in laminate structures that are intended for use at retort temperatures."," For use in finished food-contact articles in contact with all food types at temperatures not to exceed 135°C (275°F). The food contact substance may be fabricated from the following: 1) Polyesterpolyurethanediol resins prepared by the reaction of a mixture of polybasic acids and polyhydric alcohols listed in 21 C.F.R. 175.300(b)(3)(vii) and 3- isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate (CAS Reg No. 4098-71-9). Additionally, 1,6-hexanediol may be used as a polybasic alcohol reactant. 2) Optional trimethoxysilane coupling agents containing amino, epoxy, ether, or mercapto groups not in excess of 3 percent by weight of the cured adhesive. 3) Urethane cross-linking agent, comprising not more than 12 percent by weight of the cured adhesive, and formulated from 3-isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate and/or trimethylol propane (CAS Reg. No. 77-99-6 ) adduct of 1,3-bis(isocyanatomethyl)benzene (CAS Reg. No. 25854-16-4). 4) Optional use of acid dianhydride formulated from 3a,4,5,7a-tetrahydro-7-methyl-5- (tetrahydro-2,5-dioxo-3-furanyl)-1,3-isobenzofurandione(CAS Reg. No. 73003- 90-4), comprising not more than 1 percent by weight of the cured adhesive.",07/06/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("415"),,,,,," A blend of LDPE and LDPE grafted with vinyltrimethoxysilane (LDPE/VTMOS-LDPE) containing up to 50 percent LDPE grafted with vinyltrimethoxysilane (VTMOS-LDPE).",," Tetra Pak, Inc."," Tetra Pak, Inc."," For use in fabricating beverage containers."," The amount of VTMOS incorporated into the LDPE shall not exceed 0.48 moles VTMOS per 1000 moles of ethylene units. The finished copolymer blend is intended only for incidental contact with Food Types I, II, IVB and VIB in Table 1, at seams and edges under Condition of Use E, F, and G in Table 2.",09/11/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("417"),,,,,," 1,3-benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid, 1,6-hexanediamine and 4,4'-methylenebis[2-methylcyclohexanamine] (CAS Reg. No. 112754-95-7).",," EMS-Chemie AG/EMS Chemie (North America) Inc."," EMS-Chemie AG/EMS Chemie (North America) Inc."," As a component of non-food-contact layers of multilayer films."," The thickness of the FCS component of the non-food-contact layer will not exceed 25 um and will be separated from food by one or more polymeric layers having a total thickness of at least 8 um. For use in contact with all foods under conditions of use B through H as described in Table 2. Adjuvant substances permitted for use in nylon polymers complying with 21 CFR 177.1500 may be used in the subject copolymer subject to any limitations regarding conditions of use, food types, or any other limitation in the authorizing regulation or notification.",07/30/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)/EA Supplement"
=T("418"),,,,,," &alpha;-sulfo-&omega;-(dodecyloxy)poly(oxyethylene) sodium salt (CAS Reg. No. 9004-82-4).",," BASF Aktiengesellschaft"," BASF Aktiengesellschaft<br>Kensing, LLC"," For use as an emulsifier in the production of acrylic and modified acrylic polymers and vinyl acetate copolymers used as pigment binders in coatings for paper and paperboard complying with 21 CFR Sections 176.170 and 176.180 in contact with all types of food under Conditions of Use A through H."," The FCS will be used at a level not to exceed 2.0 percent by weight of the acrylic and modified acrylic polymers and vinyl acetate copolymers used as pigment binders in coatings for paper and paperboard complying with 21 C.F.R. Sections 176.170 and 176.180.",07/30/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("419"),,,,,," n-octyl phosphonic acid (NOPA)- modified titanium dioxide, (produced by chemically reacting NOPA (CAS Reg. No. 4724-48-5) with titanium dioxide to achieve a treatment level of 0.85% by weight of NOPA on the pigment).",," Huntsman Tioxide/Tioxide Europe S.A.S./Tioxide Europe S.L."," Huntsman Tioxide/Tioxide Europe S.A.S./Tioxide Europe S.L."," For use as a colorant in all types of food-contact polymers."," The FCS is for use at a maximum level of up to 20 percent by weight of the polymer. The finished polymers are intended to contact all types of food under Conditions of Use A through H described in Table 2. (In accordance with effective FCN 000038, the FCS may be used at levels up to 30 percent when used under Conditions of Use C and less severe conditions.) Use of the colorant is subject to the provisions and definitions set forth in 21 CFR 178.3297.",07/31/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)/EA Supplement"
=T("420"),,,,,," 2-butyl-2-ethyl-1,3-propanediol (CAS Reg. No. 115-84-4).",," Perstorp Polyols, Inc."," Synthomer Specialty Additives AB"," As a polyol monomer in the synthesis of polyester resins used to produce coatings, specifically coating binder resins, for use as can coatings and adhesives for single use in food contact applications."," 1. Polyester resins containing the food contact substance for use in can coatings, intended for single-use applications, may be used in contact with all food types except high-alcoholic (>15 percent alcohol) food as described in Table 1, under conditions of use A through H as described in Table 2. 2. Polyester resins containing the food contact substance for use in adhesives, intended for single use applications, may be used in contact with all food types as described in Table 1, under Conditions of Use A through H as described in Table 2.",08/04/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("421"),,,,,," Poly(terephthaloyl chloride/p-phenylenediamine) (CAS Reg. No. 26125-61-1).",," E.I. du Pont de Nemours and Company, Inc."," E.I. du Pont de Nemours and Company, Inc."," For use as a microwave susceptor base aramid paper having a maximum basis weight of 20 pounds per 1000 square feet."," For use under microwave susceptor conditions in contact with all food types as defined in Table 1.",08/04/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("423"),,,,,," Copolymers produced by the polymerization of 6-hydroxy-2-naphthoic acid with one or more of the following monomers: 4-hydroxybenzoic acid; 4,4'-biphenol; N-(4-hydroxyphenyl)acetamide; terephthalic acid; resorcinol; and isophthalic acid such that a minimum of 55 percent of the polymer units are derived from 6-hydroxy-2-naphthoic acid alone or in combination with 4-hydroxybenzoic acid, not more than 25 percent of the polymer units are derived individually from 4,4'-biphenol, N-(4-hydroxyphenyl)acetamide and terephthalic acid, and not more than 15 percent of the polymer units are derived individually from resorcinol and isophthalic acid. The copolymers should be manufactured and characterized as described in the notification.",," Ticona"," Ticona"," As a basic polymer used in the production of articles (including bottles) intended to contact food."," The finished copolymers are intended to contact all food types under Conditions of Use A through H, as described in Table 2.",08/11/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("424"),,,,,," Ethylene/octene copolymers containing up to 50 weight percent polymer units derived from 1-octene (CAS Reg. No. 26221-73-8).",," The Dow Chemical Company"," The Dow Chemical Company"," As articles or components of articles used in contact with all types of food under Conditions of Use A through H, as described in Table 2."," Ethylene/octene copolymers have a density of 0.85-0.92 g/cc and a minimum Brookfield viscosity of 6,800 centipoise at 350°F, as determined by Brookfield DVII+ viscometer (or equivalent) using a No. 31 spindle. Adjuvant substances permitted for use in olefin copolymers complying with 21 CFR 177.1520(c), items 3.1 and 3.2 may be used in the subject copolymers, provided that the limitations on the use of the adjuvant substances are met.",10/07/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("425"),,,,,," Hexanedioic acid, polymer with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, &alpha;-hydro-&omega;-hydroxypoly(oxy-1,4-butanediyl), 3-methyl-1,5-pentanediol and 1-methyl-1,3-propanediylbis[(6-isocyanatohexyl)carbamate] (CAS Reg. No. 622366-97-6).",," Japan Crown Cork Co. Ltd."," Japan Crown Cork Co. Ltd."," As a sealing gasket for glass jars and bottles."," The FCS may be used in contact with all food types, excluding carbonated beverages, under Use Conditions A through H as described in Table 2.",08/20/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("426"),,,,,," Quino[2,3-b]acridine-7,14-dione,5,12-dihydro-2,9-dimethyl, also known as diemethylquinacridone and C.I. Pigment Red 122 (CAS Reg. No. 980-26-7).",," Sun Chemical Corporation"," DCL Corporation (BP), LLC"," As a colorant in food-contact polymers."," The FCS will be used at levels not to exceed 1.5 percent by weight in finished food-packaging polymer in contact with aqueous, acidic, and low-alcohol foods (food types I, II, IV-B, VI-A, VI-B, VI-C (containing up to 15 percent (v/v) alcohol), VII-B, and VIII as described in Table 1) under the Conditions of Use A through H as described in Table 2. Use of the colorant is subject to the provisions and definitions set forth in paragraphs a and b of 21 CFR 178.3297 (""Colorants for polymers"").",08/27/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("427"),,,,,," Propenoic acid, homopolymer, sodium salt (CAS Reg. No. 9003-04-7).",," Stockhausen, Inc."," Evonik Corporation"," For use as an absorbent in food-contact materials."," The finished copolymer must meet all the specifications and limitations prescribed in 21 CFR 177.1211 (b) and (c) and is limited to use as a fluid absorbent in food-contact materials used in packaging of poultry, red meat, cubed tomatoes, fresh-cut fruits and vegetables, fresh whole berries, and fresh or frozen fish fillets.",09/01/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("428"),,,,,,," REPLACED BY FCN 537",,,,,," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("429"),,,,,," Copolymer of styrene (CAS Reg. No. 100-42-5), methyl methacrylate (CAS Reg. No.80-62-6), and glycidyl methacrylate (CAS Reg. No. 106-91-2).",," SABIC Innovative Plastics and BASF Corporation"," SABIC Innovative Plastics and BASF Corporation"," For use as a polymeric chain extender in repeated use polymers in contact with all food types and under conditions of use A through H."," The FCS shall be used at a maximum level of 0.5 percent by weight of the polymers to which it is added.",10/30/2004," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("430"),,,,,," Metallic pigment comprised of borosilicate glass flakes, 70 to 95 percent, coated with pure silver metal, 5 to 30 percent by weight.",," The Shepherd Color Company"," Energy Strategy Associates/ The Shepherd Color Company"," As a colorant for polymers in contact with food."," At levels up to 0.3 percent by weight in all types of food-contact polymers under Conditions of Use A through H as described in Table 2.",09/02/2004," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("432"),,,,,," Silver-magnesium-calcium-phosphate-borate-glass.",," Ishizuka Glass Co., Ltd."," Ishizuka Glass Co., Ltd."," As an antimicrobial agent in all polymers."," For use only at levels not to exceed 1 percent by weight of the finished article, in which the silver content of the finished article shall not exceed 0.022 percent by weight, under Conditions of Use A through H.",10/13/2004," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("433"),,,,,," Silver-magnesium-aluminum-phosphate glass.",," Ishizuka Glass Co., Ltd."," Ishizuka Glass Co., Ltd."," As an antimicrobial agent in all polymers."," For use only at levels not to exceed 2 percent by weight of the finished article, in which the silver content of the finished article shall not exceed 0.038 percent by weight, at temperature Conditions of Use A through H.",10/12/2004," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("434"),,,,,," Silver-magnesium-sodium-phosphate-glass.",," Ishizuka Glass Co., Ltd."," Ishizuka Glass Co., Ltd."," As an antimicrobial agent in all polymers."," For use only at levels not to exceed 1 percent by weight of the finished article, in which the silver content of the finished article shall not exceed 0.03 percent by weight, under Conditions of Use A through H.",10/12/2004," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("435"),,,,,," Poly(ethylene-maleic anhydride) grafted cyclodextrin(s).",," Cellresin Technologies, LLC Equistar Chemicals, LP"," Cellresin Technologies, LLC Equistar Chemicals, LP"," For use as an adjuvant in the manufacture of polymer beverage container closures and beverage and food container seals."," The FCS is intended to be blended with polymers compliant with 21 CFR 177.1210 (Closures with sealing gaskets for food containers) and/or appropriate effective FCNs to form finished beverage container closures and beverage and food container seals. The maximum concentration of the FCS will not exceed 2.0 percent by weight of the cyclodextrins and 15 percent by weight of maleic-anhydride-polyethylene copolymer in the finished closure. The finished food-contact closures may contact beverages of food types I, II, VI-A, and VI-B identified in Table 3 of 21 CFR 177.1210(c) and under Conditions of Use C through G identified in Table 2.",09/14/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("436"),,,,,," 1,4-Dioxa-8-azaspiro[4.5]decane, 7,7,9,9-tetramethyl- (CAS Reg. No. 36793-27-8)",," Degussa Corporation"," Degussa Corporation"," As a catalyst in the manufacture of pulp used to manufacture food-contact paper."," This notification extends the present authorized use of the FCS as an oxidation catalyst under FCN 339 to include use levels greater than 2.0 mg but not more than 13.9 mg FCS per kg of dry pulp, and to include use in contact with all types of food. The FCS may be used under Conditions of Use E through G, as described in Table 2.",11/20/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("437"),,,,,," Ethoxylated primary linear alcohols of greater than 10% ethylene oxide by weight, having molecular weights of 390 - 7,000 (CAS Reg. No. 97953-22-5).",," Baker Petrolite - Polymers Division"," Baker Petrolite - Polymers Division"," The FCS will be used as a surface active agent in polypropylene polymers at levels not to exceed 1.5 percent by weight of the finished article."," The finished food-contact article may be used in contact with aqueous foods and under Conditions of Use C (use at temperature of 150°F or less) through G as described in Tables 1 and 2, respectively.",10/15/2004," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("438"),,,,,," Monoisopropanolamine (MIPA) (CAS Reg. No. 78-96-6)",," The Chemours Company FC, LLC"," The Dow Chemical Company"," For use as a dispersant for titanium dioxide pigment suspensions used in the manufacture of paper and paperboard at levels not to exceed 0.68 percent by weight of the titanium dioxide."," Finished paper and paperboard containing the FCS may be used in contact with all types of foods (I-IX) as described in Table 1, under microwave susceptor conditions.",09/17/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("439"),,,,,," Industrial starch modified by treatment with greater than 5 percent and not more than 21 percent by weight 2,3-epoxypropyltrimethyl-ammonium chloride (CAS Reg. No. 56780-58-6).",," Roquette Fr&egrave;res"," Roquette Fr&egrave;res"," For use as a retention aid and/or drainage aid and/or dry-strength agent employed prior to the sheet forming operation in the manufacture of food-contact paper and paperboard."," The modified industrial starch must be used in compliance with 21 CFR 178.3520(a)(1), (b), and (c). The FCS may be added to the paper manufacturing process at a maximum level of 2 percent by weight of the dry pulp when intended for use with paper and paperboard that will contact all food types under Conditions of Use E through H, identified in Table 2. In addition, the FCS may be added to the manufacturing process of finished paper and paperboard that is intended for use in contact with all food types under Conditions of Use A through D (identified in Table 2), provided that it is added to the manufacturing process of paper and paperboard made from recycled, food-contact paper and paperboard and that the level used does not exceed 1 percent by weight of dry pulp.",10/27/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("442"),,,,,," Alcohol ethoxylate in which the alcohol contains from 12 to 22 carbon atoms and the ethoxylate chain contains from 4 to 20 repeating ethoxylate units.",," Lubrizol Advanced Materials"," Lubrizol Advanced Materials"," For use as a component of a mixture intended for use as a thickener for hand sanitizers used in food service establishments."," The FCS is to be included at up to 7 percent by weight in a mixture containing 1) a polyacrylic acid homopolymer or the copolymer of acrylic acid and up to 10 percent by weight alkyl (C10-C30) methacrylate, crosslinked with either allyl sucrose or allyl pentaerythritol, and (2) optionally containing up to 7 percent by weight of a block copolymer surfactant of fatty acid (C12-C18) and polyethylene glycol. The mixture will be used at levels no greater than 0.5 percent by weight in hand sanitizer formulations.",11/23/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)/EA Supplement"
=T("443"),,,,,," Agarose, polymer with (chloromethyl)oxirane, 2-hydroxy-3(3-sulfopropoxy)propyl ethers, sodium salts (CAS Reg. No. 676618-71-6).",," Amersham Biosciences"," Amersham Biosciences"," As an ion exchange resin."," For repeated use in extracting individual proteins or substances present in similar low concentrations from liquid, water-based food materials, such as milk, whey, fruit juice, beer and wine. The process conditions include pH 3-14 and temperatures 5-60°C.",09/29/2004," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("444"),,,,,," Poly(isophthaloyl chloride/m-phenylenediamine) (CAS Reg. No. 25765-47-3)",," E.I. du Pont de Nemours and Company, Inc."," E.I. du Pont de Nemours and Company, Inc."," For use as a microwave susceptor base material in aramid paper having a maximum basis weight of 20 pounds per 1000 square feet."," The FCS may be used at levels not to exceed 50 percent by weight in a mixture with poly(terephthaloyl chloride/p-phenylenediamine)(CAS Reg. No. 26125-61-1). The finished paper may be used under microwave susceptor conditions in contact with all food types as defined in Table 1.",08/04/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("445"),,,,,," Chlorine Dioxide",," Selective Micro Technologies, LLC"," Selective Micro Technologies, LLC"," As an antimicrobial agent in water used in poultry processing and to wash fruits and vegetables that are not raw agricultural commodities in an amount not to exceed 3 ppm residual chlorine dioxide as determined by Method 4500-ClO<sub>2</sub>-E in the ""Standard Methods for the Examination of Water and Wastewaters"" 18th ed., 1992, or an equivalent method."," The generator effluent contains at least 90 percent by weight of chlorine dioxide with respect to all chlorine species as determined by Method 4500-ClO2-E, or an equivalent method. 1. When used in water to wash fruits and vegetables, treatment of the fruits and vegetables shall be followed by a potable water rinse or by blanching, cooking, or canning.",10/01/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("446"),,,,,," Di-&mu;-chlorobis((1,2,5,6-&eta;)-1,5-cyclooctadiene)dirhodium (CAS Reg. No. 12092-47-6).",," Wacker Chemical Corporation (formerly known as Wacker Silicones Corporation)"," Wacker Chemical Corporation (formerly known as Wacker Silicones Corporation)"," For use as a catalyst in the preparation of silicone elastomers complying with 21 CFR 177.2600."," The FCS will not exceed 0.01 percent (or 100 ppm) in the finished elastomer, corresponding to 41.7 ppm rhodium.",10/05/2004," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("447"),,,,,,," REPLACED BY FCN 1738",,,,,," Categorical Exclusion 25.32(q)"," Categorical Exclusion Memo"
=T("448"),,,,,," Polyester-polyurethane resin formulated from: <ol type=""a""><li>(1) Polyester-polyurethanediol resins prepared by the reaction of a mixture of polybasic acids and polyhydric alcohols listed in 21 CFR 175.300(b)(3)(vii) and 1,6-hexanediol (CAS Reg. No. 629-11-8), dimethylolbutanoic acid (CAS Reg. No. 10097-02-6), 3-isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate (CAS Reg No. 4098-71-9), and/or 1,3-bis(isocyanatomethyl)benzene (CAS Reg. No. 25854-16-4). The FCS will be manufactured and characterized as described in the notification. (2) An optional trimethoxysilane coupling agent containing an epoxy group, as described in the notification, not to exceed 3 percent by weight of the cured adhesive.</li> <li>Urethane cross-linking agent comprising not more than 20 percent by weight of the cured adhesive, and formulated from trimethylolpropane (CAS Reg. No. 77-99-6) adduct of 3-isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate and/or trimethylolpropane adduct of 1,3-bis(isocyanatomethyl)benzene and/or 3-isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate cyanurate (CAS Reg. No. 53880-05-0). The content of the 3-isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate cyanurate shall not exceed 14 percent by weight of the cured adhesive.</li></ol>",," Perstorp Polyols, Inc. Rock Paint Co., Ltd."," Perstorp Polyols, Inc. Rock Paint Co., Ltd."," For use as an adhesive in laminate structures that are intended for use at retort temperatures."," For use in contact with all types of food, except those containing more than 8 percent alcohol, under retort packaging conditions at temperatures not to exceed 275°F. Laminate structures containing the FCS will meet all applicable provisions and test specifications in 21 CFR 177.1390, including 177.1390(c)(3)(i)(b)(3) and 177.1390(c)(3)(ii).",10/15/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("449"),,,,,,," REPLACED BY FCN 708",,,,,," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("450"),,,,,," An aqueous solution of sodium chlorite and chlorine dioxide containing up to 1200 mg/kg sodium chlorite and up to 30 mg/kg chlorine dioxide.",," Bio-cide International, Inc."," Bio-cide International, Inc."," As an antimicrobial agent in the processing of red meat, red meat parts and organs, and on processed, comminuted, and formed meat products as a component of a dip or a spray."," The additive is produced by mixing an aqueous solution of sodium chlorite with any generally recognized as safe acid to achieve a pH in the range of 2.2 to 3.0, then further diluting this solution with a pH elevating agent such that the resultant sodium chlorite concentration does not exceed 1200 mg/kg, and the chlorine dioxide concentration does not exceed 30 mg/kg. The pH of the use solution is between 5.0 and 7.5.",11/04/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)/EA Supplement"
=T("451"),,,,,," 2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with docosyl 2-propenoate, eicosyl 2-propenoate, octadecyl 2-propenoate and tetradecyl 2-methyl-2-propenoate (CAS Reg. No. 470469-55-7)",," Toho Chemical Industry Company, Ltd."," Toho Chemical Industry Company, Ltd."," As a processing aid (filter aid) in the production of petroleum wax that will be used on food packaging for single use food contact applications."," The FCS will be used as described in 21 CFR 178.3710 Petroleum wax. The petroleum wax will contain a total of not more than 40 ppm by weight of the FCS. The finished wax-coated paper, with a wax thickness of 0.3g/cm<sup>2</sup>, would contact only alcoholic and fatty foods.",01/21/2005," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("452"),,,,,," Styrene-methyl methacrylate-butyl acrylate-butadiene copolymer.",," INEOS NOVA LLC"," INEOS NOVA LLC"," The FCS will be used as a base polymer in contact with food, excluding film or coating applications."," The FCS will be used in contact with (1) all types of food, except Food Type VI C (beverages containing more than 8 percent alcohol), at room temperature for up to 10 days; (2) aqueous and acidic foods (Food Types I, II, IVB, VIA, VIB, VIIB, and VIII) at room temperature for up to 15 days; and (3) all food types under refrigerated or frozen storage (Conditions of Use F and G, as described in Table 2).",11/10/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("453"),,,,,," 1,3-dibromo-5,5-dimethylhydantoin (DBDMH; CAS Reg. No. 77-48-5)",," Albemarle Poultry Sciences, LLC"," Albemarle Poultry Sciences, LLC"," For general use as an antimicrobial agent in water used in poultry processing for disinfecting poultry carcasses and their parts and organs."," The FCS will be used at a level not to exceed that needed to provide the equivalent of 100 parts per million (ppm) of available bromine (90 mg DBDMH/kg water) in poultry process water.",11/10/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("454"),,,,,," [1,1'-biphenyl]-4,4'-diol, polymer with 1,1'-sulfonylbis[4-chlorobenzene] (CAS Reg. No. 25608-64-4).",," Solvay Specialty Polymers USA, LLC"," Solvay Specialty Polymers USA, LLC"," The FCS will be used as a resin in the manufacture of molded repeat-use food-contact articles."," The finished FCS will have an average thickness range of 2 - 20 mm, and may be used in contact with all types of food and at temperatures not to exceed 204°C (400°F).",11/10/2004," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("455"),,,,,," N-phenylbenzenamine reaction products with 2,4,4-trimethylpentene (CAS Reg. No. 68411-46-1).",," Ciba Specialty Chemicals Corporation"," BASF Corporation"," As an antioxidant/stabilizer in food-contact adhesives."," For use at levels not to exceed 1 percent by weight of adhesives complying with 21 CFR 175.105. The FCS may be used in contact with all food types as described in Table 1, at temperatures not to exceed 120°F.",11/16/2004," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("456"),,,,,," Sodium sulfate salt of ethoxylated (7 moles of ethylene oxide) n- and isoundecyl alcohol (C11) (CAS Reg. No. 219756-63-5).",," Clariant GmbH"," Clariant GmbH"," For use as an emulsifier in the production of acrylic and modified acrylic polymers and vinyl acetate copolymers used as pigment binders in coatings for paper and paperboard complying with 21 CFR Sections 176.170 and 176.180 in contact with all types of food."," The FCS will be used at a level not to exceed 2.0 percent by weight of the acrylic and modified acrylic polymers and vinyl acetate copolymers used as pigment binders in coatings for paper and paperboard complying with 21 CFR Sections 176.170 and 176.180.",11/25/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("458"),,,,,," Tetracarbonyl di-&mu;-chlorodirhodium (I) (CAS Reg. No. 14523-22-9) Trade name: Rhodium carbonyl chloride dimer Formula: (Rh(CO)<sub>2</sub>Cl)<sub>2</sub>",," Wacker Chemical Corporation"," Wacker Chemical Corporation"," As a catalyst to accelerate the cross-linking reaction of vinyl-functionalized polydimethylsiloxanes with hydrogen-functionalized polydimethylsiloxanes in forming a silicone elastomer that will be used in repeat use articles such as baking molds and milk tubes, which may contact all food types under all conditions, consistent with the limitations of 21 CFR 177.2600(c)(4)(i)."," The FCS will be used at levels not to exceed 30 ppm in the finished elastormer.",11/30/2004," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
