FCM and Articles Regulation, Annex I - Authorised Substances
Note: Group entries are split in different rows.
Export date: 12/03/2025 10:41:38
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of 3-Buten-2-ol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of 3-Buten-2-ol"	""	"357"	"13932"	"no"	"yes"	"no"	"0.01 mg/kg"	""	""	""	"Only to be used as a co-monomer for the preparation of polymeric additive."	"V1 Verification of compliance by residual content per food contact surface area (QMA) pending the availability of an analytical method."	"ND The specific migration limit is non-detectable (ND). A detection limit of 0.01mg substance per kg food is applicable unless specified differently for an individual substance."	""	"As 3-Buten-2-ol"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of 4,4'-Thiobis(6-tert-butyl-3-methylphenol)"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of 4,4&#39;-Thiobis(6-tert-butyl-3-methylphenol)"	""	"178"	"92800"	"yes"	"no"	"yes"	"0.48 mg/kg"	""	""	""	""	""	""	""	"As 4,4&#39;-Thiobis(6-tert-butyl-3-methylphenol)"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of 4-Cumylphenol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of 4-Cumylphenol"	""	"358"	"14841"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	"As 4-Cumylphenol"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of 4-tert-Butylphenol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of 4-tert-Butylphenol"	""	"186"	"14020"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	"As tert-Butylphenol"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Abietic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Abietic acid"	""	"346"	"10030"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Acetic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Acetic acid"	""	"115"	"3000010090"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Acrylic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Acrylic acid"	""	"147"	"10690"	"no"	"yes"	"no"	""	"G22 Group Restriction No. 22 corresponds to FCM substance No. 70,147,176,218,323,325,365,371,380,425,446,448,456,636. Group restriction specification is expressed as acrylic acid."	"70,147,176,218,323,325,365,371,380,425,446,448,456,636"	"6 mg/kg"	""	""	""	""	"As acrylic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Adipic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Adipic acid"	""	"303"	"3173012130"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Alginic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Alginic acid"	""	"566"	"33350"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Arachidic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Arachidic acid"	""	"345"	"35840"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Arachidonic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Arachidonic acid"	""	"518"	"35845"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Ascorbic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Ascorbic acid"	""	"101"	"36000"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Azelaic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Azelaic acid"	""	"302"	"12820"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Behenic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Behenic acid"	""	"272"	"37040"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Benzoic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Benzoic acid"	""	"116"	"3760013090"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Benzyl alcohol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Benzyl alcohol"	""	"194"	"13150"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Bis(3,4-dimethylbenzylidene)sorbitol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Bis(3,4-dimethylbenzylidene)sorbitol"	""	"766"	"38879"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Bis(4-ethylbenzylidene)sorbitol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Bis(4-ethylbenzylidene)sorbitol"	""	"743"	"38950"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Bis(4-propylbenzylidene)propylsorbitol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Bis(4-propylbenzylidene)propylsorbitol"	""	"808"	"38550"	"yes"	"no"	"no"	"5 mg/kg"	""	""	""	"SML including the sum of its hydrolysis products."	""	""	""	"As the sum of the substance and its hydrolysis products"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Bis(methylbenzylidene)sorbitol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Bis(methylbenzylidene)sorbitol"	""	"752"	"39890"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Boric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Boric acid"	""	"584"	"4032013620"	"yes"	"yes"	"no"	""	"G16 Group Restriction No. 21 corresponds to FCM substance No. 347,349. Group restriction specification is expressed as boron, without prejudice to the provisions of Directive 98/83/EC."	"407,583,584,599"	"6 mg/kg"	""	""	""	""	"As boron"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Butyric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Butyric acid"	""	"229"	"14140"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Caprylic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Caprylic acid"	""	"304"	"1432041960"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Citric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Citric acid"	""	"139"	"4416014680"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Crotonic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Crotonic acid"	""	"467"	"4560014800"	"yes"	"yes"	"no"	""	"G35 Group Restriction No. 35 corresponds to FCM substance No. 467,744,1059. Group restriction specification is expressed as crotonic acid."	"467,744,1059"	"0.05 mg/kg"	""	""	""	""	"As crotonic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Di(p-tolylidene)sorbitol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Di(p-tolylidene)sorbitol"	""	"752"	"39890"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Diethyleneglycol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Diethyleneglycol"	""	"263"	"1332615760"	"yes"	"yes"	"no"	""	"G2 Group Restriction No. 2 corresponds to FCM substance No. 89,227,263,1048. Group restriction specification is expressed as ethyleneglycol."	"89,227,263,1048"	"30 mg/kg"	""	""	""	""	"As ethyleneglycol"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Dipentaerythritol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Dipentaerythritol"	""	"311"	"5120016480"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Dipropyleneglycol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Dipropyleneglycol"	""	"257"	"166601355051760"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Dodecylbenzenesulphonic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Dodecylbenzenesulphonic acid"	""	"658"	"52000"	"yes"	"no"	"no"	"30 mg/kg"	""	""	""	""	""	""	""	"As Dodecylbenzenesulphonic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Erucic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Erucic acid"	""	"273"	"52730"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Ethanol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Ethanol"	""	"113"	"5280016780"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Ethylenediaminetetraacetic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Ethylenediaminetetraacetic acid"	""	"111"	"53600"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Ethyleneglycol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Ethyleneglycol"	""	"227"	"5365016990"	"yes"	"yes"	"no"	""	"G2 Group Restriction No. 2 corresponds to FCM substance No. 89,227,263,1048. Group restriction specification is expressed as ethyleneglycol."	"89,227,263,1048"	"30 mg/kg"	""	""	""	""	"As ethyleneglycol"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Formic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Formic acid"	""	"114"	"55040"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Fumaric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Fumaric acid"	""	"249"	"5512017290"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Furan-2,5-dicarboxylic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Furan-2,5-dicarboxylic acid"	""	"1031"	""	"no"	"yes"	"no"	"5 mg/kg"	""	""	""	"Only to be used as a monomer in the production of polyethylene furanoate.The migration of the oligomeric fraction of less than 1 000 Da shall not exceed 50 µg/kg food (expressed as furan-2,5-dicarboxylic acid)."	"V22 When used in contact with non-alcoholic foods for which Table 2 of Annex III assigns food simulant D1, food simulant C shall be used for verification of compliance instead of food simulant D1.V23 When a final material/article containing this substance is placed on the market, a well described method suitable for use by a competent authority to determine oligomer migration compliance with the restrictions in column 10 Table 1 shall be part of the supporting document referred to in Art. 16. Reference shall be made if an adequate method is publicly available. If it requires a calibration sample, a sufficient sample shall be supplied to the competent authority on its request."	""	""	"As Furan-2,5-dicarboxylic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Gadoleic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Gadoleic acid"	""	"667"	"55190"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Glutaric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Glutaric acid"	""	"256"	"1801055680"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	"As Glutaric acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Glycerol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Glycerol"	""	"103"	"1810055920"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Glycolic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Glycolic acid"	""	"794"	"18117"	"no"	"yes"	"no"	""	""	""	""	"Only to be used for manufacture of polyglycolic acid (PGA) for (i) indirect food contact behind polyesters such as polyethylene terephthalate (PET) or polylactic acid (PLA); and (ii) direct food contact of a blend of PGA up to 3 % w/w in PET or PLA."	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Heptanoic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Heptanoic acid"	""	"259"	"58720"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	"As Heptanoic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Hexachloroendomethylenetetrahydrophthalic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Hexachloroendomethylenetetrahydrophthalic acid"	""	"278"	"18250"	"no"	"yes"	"no"	"0.01 mg/kg"	""	""	""	""	""	"ND The specific migration limit is non-detectable (ND). A detection limit of 0.01mg substance per kg food is applicable unless specified differently for an individual substance."	""	"As Hexachloroendomethylenetetrahydrophthalic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Hexanoic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Hexanoic acid"	""	"329"	"59360"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Hydrochloric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Hydrochloric acid"	""	"507"	"59990"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	"As Hydrochloric acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Hypophosphorous acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Hypophosphorous acid"	""	"494"	"62140"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Isophthalic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Isophthalic acid"	""	"291"	"19150"	"no"	"yes"	"no"	""	"G27 Group Restriction No. 27 corresponds to FCM substance No. 188,291. Group restriction specification is expressed as isophthalic acid."	"188,291"	"5 mg/kg"	""	""	""	""	"As isophthalic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Itaconic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Itaconic acid"	""	"182"	"19270"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of L-(+)-Tartaric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of L-(+)-Tartaric acid"	""	"161"	"92160"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Lactic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Lactic acid"	""	"99"	"1946062960"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Lauric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Lauric acid"	""	"330"	"6328019470"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Levulinic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Levulinic acid"	""	"299"	"63840"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Lignoceric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Lignoceric acid"	""	"350"	"63920"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	"As Lignoceric acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Lignosulphonic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Lignosulphonic acid"	""	"540"	"63940"	"yes"	"no"	"no"	"0.24 mg/kg"	""	""	""	"Only to be used as dispersant for plastics dispersions."	""	""	""	"As Lignosulphonic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Linoleic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Linoleic acid"	""	"112"	"64015"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Linolenic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Linolenic acid"	""	"663"	"64150"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of m-Cresol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of m-Cresol"	""	"235"	"14710"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Maleic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Maleic acid"	""	"248"	"1954064800"	"yes"	"yes"	"no"	""	"G3 Group Restriction No. 3 corresponds to FCM substance No. 234,248. Group restriction specification is expressed as maleic acid."	"234,248"	"30 mg/kg"	""	""	""	""	"As maleic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Malic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Malic acid"	""	"499"	"1996565020"	"yes"	"yes"	"no"	""	""	""	""	"In case of use as a monomer only to be used as a co-monomer in aliphatic polyesters up to maximum level of 1 % on a molar basis."	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Malonic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Malonic acid"	""	"328"	"65040"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
